sample_index,timestamp,eeg
243,1782309407.731719,362
244,1782309407.7317197,520
245,1782309407.7317204,321
246,1782309407.7317212,460
247,1782309407.7317224,371
248,1782309407.731723,518
249,1782309407.7317238,322
250,1782309407.7317245,578
251,1782309407.7339945,374
252,1782309407.7339985,515
253,1782309407.7339997,327
254,1782309407.7340007,574
255,1782309407.7340016,391
256,1782309407.7340024,515
257,1782309407.734004,329
258,1782309407.7340052,576
259,1782309407.7340062,379
260,1782309407.7340117,511
261,1782309407.735717,328
262,1782309407.7357197,571
263,1782309407.7357206,384
264,1782309407.7357218,511
265,1782309407.7357225,329
266,1782309407.7357235,566
267,1782309407.7357242,384
268,1782309407.7357254,509
269,1782309407.7357266,332
270,1782309407.7357275,567
271,1782309407.736334,386
272,1782309407.7363355,504
273,1782309407.7363367,333
274,1782309407.7363377,561
275,1782309407.7363384,291
276,1782309407.7363396,499
277,1782309407.7363403,338
278,1782309407.736341,558
279,1782309407.736342,297
280,1782309407.7363431,494
281,1782309407.739757,346
282,1782309407.73976,550
283,1782309407.7397616,303
284,1782309407.739764,482
285,1782309407.7397656,351
286,1782309407.7397676,547
287,1782309407.739769,304
288,1782309407.7397711,476
289,1782309407.7397733,349
290,1782309407.739775,544
291,1782309407.739786,307
292,1782309407.7397878,484
293,1782309407.7397895,355
294,1782309407.7397914,538
295,1782309407.7397928,311
296,1782309407.7397947,480
297,1782309407.7397964,355
298,1782309407.739798,538
299,1782309407.7397997,315
300,1782309407.7398899,601
301,1782309407.7398996,362
302,1782309407.739902,537
303,1782309407.739904,317
304,1782309407.7399058,597
305,1782309407.7399075,362
306,1782309407.7399092,534
307,1782309407.7399108,316
308,1782309407.7399127,592
309,1782309407.7399144,361
310,1782309407.7399163,531
311,1782309407.744421,321
312,1782309407.744426,592
313,1782309407.7444272,369
314,1782309407.7444284,528
315,1782309407.7444293,322
316,1782309407.74443,590
317,1782309407.744431,370
318,1782309407.7444322,528
319,1782309407.744433,324
320,1782309407.7444336,612
321,1782309407.7444427,321
322,1782309407.7444434,608
323,1782309407.7444444,265
324,1782309407.744445,666
